,time,area_m2,area_km2
0,2017,563940000.0,563.94
1,2018,563940000.0,563.94
2,2019,563940000.0,563.94
3,2020,563940000.0,563.94
4,2021,563940000.0,563.94
5,2022,563940000.0,563.94
6,2023,563930000.0,563.93
7,2024,563940000.0,563.94
