,time,area_m2,area_km2
0,2017,476410000.0,476.41
1,2018,560620000.0,560.62
2,2019,595810000.0,595.81
3,2020,525600000.0,525.6
4,2021,447130000.0,447.13
5,2022,627120000.0,627.12
6,2023,663880000.0,663.88
7,2024,662140000.0,662.14
