,time,area_m2,area_km2
0,2017,763440000.0,763.44
1,2018,833770000.0,833.77
2,2019,861030000.0,861.03
3,2020,920670000.0,920.67
4,2021,940760000.0,940.76
5,2022,1015360000.0,1015.36
6,2023,898490000.0,898.49
7,2024,964010000.0,964.01
